,Totals,Totals,Totals,Totals,Totals,Totals,Averages,Averages,Averages,Averages,Averages,Averages,Goal Ratio
,Bayern Home Goals,Opp Away Goals,Bayern Away Goals,Opp Home Goals,Total for,Total against,Bayern Home Goals,Opp Away Goals,Bayern Away Goals,Opp Home Goals,Total for,Total against,
SeasonTo,,,,,,,,,,,,,
2001.0,37.0,20.0,25.0,17.0,62.0,37.0,1.088235294117647,0.5882352941176471,0.7352941176470589,0.5,1.8235294117647058,1.088235294117647,1.6756756756756757
2002.0,42.0,10.0,23.0,15.0,65.0,25.0,1.2352941176470589,0.29411764705882354,0.6764705882352942,0.4411764705882353,1.911764705882353,0.7352941176470589,2.6
2003.0,37.0,12.0,33.0,13.0,70.0,25.0,1.088235294117647,0.35294117647058826,0.9705882352941176,0.38235294117647056,2.0588235294117645,0.7352941176470589,2.8
2004.0,43.0,19.0,27.0,20.0,70.0,39.0,1.2647058823529411,0.5588235294117647,0.7941176470588235,0.5882352941176471,2.0588235294117645,1.1470588235294117,1.794871794871795
2005.0,44.0,14.0,31.0,19.0,75.0,33.0,1.2941176470588236,0.4117647058823529,0.9117647058823529,0.5588235294117647,2.2058823529411766,0.9705882352941176,2.272727272727273
2006.0,42.0,14.0,25.0,18.0,67.0,32.0,1.2352941176470589,0.4117647058823529,0.7352941176470589,0.5294117647058824,1.9705882352941178,0.9411764705882353,2.09375
2007.0,29.0,14.0,26.0,26.0,55.0,40.0,0.8529411764705882,0.4117647058823529,0.7647058823529411,0.7647058823529411,1.6176470588235294,1.1764705882352942,1.375
2008.0,41.0,8.0,27.0,13.0,68.0,21.0,1.2058823529411764,0.23529411764705882,0.7941176470588235,0.38235294117647056,2.0,0.6176470588235294,3.238095238095238
2009.0,45.0,23.0,26.0,19.0,71.0,42.0,1.3235294117647058,0.6764705882352942,0.7647058823529411,0.5588235294117647,2.088235294117647,1.2352941176470589,1.6904761904761905
2010.0,39.0,13.0,33.0,18.0,72.0,31.0,1.1470588235294117,0.38235294117647056,0.9705882352941176,0.5294117647058824,2.1176470588235294,0.9117647058823529,2.3225806451612905
2011.0,48.0,13.0,33.0,27.0,81.0,40.0,1.411764705882353,0.38235294117647056,0.9705882352941176,0.7941176470588235,2.3823529411764706,1.1764705882352942,2.025
2012.0,49.0,6.0,28.0,16.0,77.0,22.0,1.4411764705882353,0.17647058823529413,0.8235294117647058,0.47058823529411764,2.264705882352941,0.6470588235294118,3.5
2013.0,56.0,11.0,42.0,7.0,98.0,18.0,1.6470588235294117,0.3235294117647059,1.2352941176470589,0.20588235294117646,2.8823529411764706,0.5294117647058824,5.444444444444445
2014.0,48.0,15.0,46.0,8.0,94.0,23.0,1.411764705882353,0.4411764705882353,1.3529411764705883,0.23529411764705882,2.764705882352941,0.6764705882352942,4.086956521739131
2015.0,46.0,7.0,34.0,11.0,80.0,18.0,1.3529411764705883,0.20588235294117646,1.0,0.3235294117647059,2.3529411764705883,0.5294117647058824,4.444444444444445
2016.0,51.0,8.0,29.0,9.0,80.0,17.0,1.5,0.23529411764705882,0.8529411764705882,0.2647058823529412,2.3529411764705883,0.5,4.705882352941177
2017.0,55.0,9.0,34.0,13.0,89.0,22.0,1.6176470588235294,0.2647058823529412,1.0,0.38235294117647056,2.6176470588235294,0.6470588235294118,4.045454545454546
2018.0,56.0,15.0,36.0,13.0,92.0,28.0,1.6470588235294117,0.4411764705882353,1.0588235294117647,0.38235294117647056,2.7058823529411766,0.8235294117647058,3.2857142857142856
